amount,account_age,failed_logins,location_risk,device_trust,fraud
29475,87,9,96,81,0
9762,76,4,88,2,1
17064,74,14,56,0,1
59738,34,17,53,32,1
73766,43,7,55,70,0
85167,74,1,67,73,0
67315,94,7,68,58,0
69142,22,7,86,71,0
13384,70,3,54,31,1
72889,114,18,68,86,1
84764,2,17,71,16,1
93568,94,0,80,77,1
61489,66,19,0,16,0
9535,32,14,11,88,1
54440,106,17,34,20,1
44178,16,11,77,54,0
78932,76,0,81,5,1
51393,1,6,73,83,0
96081,117,18,78,48,1
78881,72,0,32,83,0
60503,48,6,82,25,0
29224,50,1,97,31,1
95535,13,6,24,71,0
44019,15,18,15,43,1
35347,53,12,7,58,1
94858,44,4,34,28,0
91847,8,18,84,16,1
62852,74,0,82,17,1
56673,46,0,45,39,1
59201,69,17,10,62,1
26746,114,0,60,81,0
23149,19,4,43,74,0
79705,111,8,10,44,0
98216,38,11,10,75,1
97479,11,8,21,78,1
68485,117,17,84,89,1
40258,43,10,90,2,1
65517,20,0,81,2,1
23389,20,18,61,37,1
9923,21,9,47,98,0
60260,82,1,93,72,0
42075,57,6,62,39,1
9640,50,19,50,67,1
16464,74,1,44,53,0
4711,98,18,32,19,1
27763,26,5,84,14,1
52091,30,9,59,92,0
57779,73,8,1,4,0
31077,110,7,12,38,0
94804,115,10,65,39,0
49215,31,8,56,6,0
91107,42,19,42,71,1
88323,119,19,44,95,1
60990,68,8,30,99,0
66487,61,7,9,32,1
18171,61,14,22,36,1
59375,70,1,85,31,0
72469,78,0,28,42,0
12038,68,8,96,62,0
35295,90,8,30,35,0
91780,111,12,77,97,1
4100,112,7,73,48,0
70688,103,4,17,24,0
93710,17,2,10,95,0
97956,19,3,46,65,0
38404,51,16,2,8,1
69549,113,15,1,92,1
83086,70,15,53,17,1
89743,63,19,71,21,1
20864,93,2,30,98,0
86127,75,5,7,14,0
38594,80,0,42,6,0
3473,30,15,47,12,1
12261,25,14,1,35,1
97632,104,6,21,15,0
92758,75,1,4,40,0
27450,71,9,6,20,0
93108,26,14,19,27,1
94397,56,5,91,73,1
25451,22,1,76,82,0
88768,89,16,1,16,0
15405,19,0,31,64,0
75453,31,0,89,12,0
76897,26,3,2,35,0
66053,42,19,40,57,1
57558,41,15,41,19,1
20458,100,7,76,51,0
3367,23,0,84,5,1
82845,47,18,44,22,1
89688,13,10,86,41,1
38613,89,16,70,23,1
26192,66,9,16,4,0
11438,66,11,91,31,1
512,16,8,46,45,0
7643,73,6,93,16,1
33596,28,11,68,74,0
60792,77,14,23,26,1
89184,35,7,70,67,0
93020,41,16,33,22,1
44525,77,4,49,86,1
38856,31,13,41,33,1
18988,85,1,32,20,0
35835,32,15,26,21,1
47395,54,16,77,64,1
83142,98,2,58,31,0
86099,72,0,18,61,0
18055,59,17,75,27,1
37941,41,17,2,81,1
70740,112,3,70,6,1
65610,66,14,98,53,1
35011,102,18,24,69,1
59131,96,18,14,13,1
88826,54,9,82,93,0
7457,40,4,59,54,0
32579,28,18,82,57,1
61576,37,10,22,43,0
44911,105,6,10,45,0
36308,65,4,58,13,0
20250,105,19,84,43,1
71280,74,11,33,40,1
43386,55,18,6,72,1
68550,4,14,43,94,1
21452,99,11,90,1,0
55169,10,3,63,81,0
14497,47,11,22,4,1
41655,75,17,57,89,1
47059,14,16,19,86,1
828,38,18,26,11,1
50617,12,15,59,77,0
66334,45,10,7,76,0
40054,17,1,66,98,0
47380,80,15,1,46,1
79559,35,0,21,78,0
16879,66,16,69,34,0
64032,75,17,35,18,1
73036,41,12,23,78,1
24566,67,4,11,62,0
37039,29,5,80,7,1
69996,18,0,21,22,0
35370,20,9,82,12,1
59263,111,4,72,22,0
82737,14,0,75,30,1
52034,34,10,95,29,0
64995,49,6,94,41,0
32407,54,17,80,1,0
54198,31,19,22,10,1
61021,58,9,73,24,1
5586,104,14,62,28,1
8435,42,3,29,21,0
87000,58,15,18,18,1
89212,82,14,25,72,0
97303,30,14,89,40,1
11230,25,11,10,37,1
87608,63,7,19,28,1
60666,19,7,55,73,0
66803,72,17,44,21,1
27292,92,5,67,87,0
1162,8,4,46,7,0
84176,95,1,75,46,1
89880,3,11,88,5,1
21645,67,3,57,6,0
21789,108,12,9,83,1
11274,86,16,21,80,1
88561,81,15,70,35,1
9448,100,8,23,7,1
23814,17,0,65,76,0
38202,14,14,95,87,1
74560,115,11,84,45,0
90030,9,4,60,63,0
6901,62,17,6,30,1
72367,94,19,71,22,0
48236,21,1,37,60,0
23725,76,3,20,80,0
82973,37,14,7,49,1
72692,96,5,88,45,1
77152,11,11,27,87,1
44361,20,17,91,42,0
1642,35,19,53,9,0
21777,53,3,30,94,0
46832,47,0,99,19,1
50443,110,14,88,15,1
39181,75,17,40,77,1
62956,52,13,36,2,1
93205,8,2,37,29,0
88958,4,14,50,17,1
19165,27,4,75,58,0
83560,44,2,36,69,0
88192,40,6,30,83,0
54793,102,5,61,34,0
27062,47,0,17,18,0
28395,94,18,89,25,1
13907,44,6,5,34,0
42448,48,3,8,75,0
26532,112,11,10,71,0
83385,91,19,94,56,1
91892,85,17,1,48,1
57954,52,8,28,9,0
40362,84,18,50,84,1
37180,68,3,68,28,0
1424,11,0,22,94,0
91367,77,8,99,70,1
36009,73,14,6,97,1
89439,4,7,55,97,0
19970,76,14,76,93,1
34678,73,14,61,67,1
72224,77,17,73,93,1
26890,48,6,99,88,0
25389,26,17,79,77,1
55229,102,15,14,23,1
93814,106,1,52,42,1
94346,77,3,42,94,0
15585,39,19,82,38,1
44582,92,15,84,91,1
86288,58,2,34,24,0
4848,19,1,78,82,0
86869,88,2,13,67,0
9535,83,4,92,33,0
3809,113,1,68,95,1
30455,77,18,48,88,1
55871,77,19,17,85,1
57899,58,1,50,52,0
13216,28,1,0,91,0
25570,117,19,26,54,1
42444,66,17,63,52,1
43018,10,19,59,17,0
52324,86,13,90,6,0
39398,77,14,88,62,1
80319,58,11,40,74,1
61729,73,10,20,41,0
66140,97,10,13,10,0
99618,14,6,19,8,0
99935,112,11,91,34,1
28116,84,15,84,86,1
24060,15,4,86,96,0
33691,96,1,10,64,0
82948,33,15,65,83,1
67741,17,14,83,4,1
36495,24,10,23,92,0
22800,30,5,88,25,0
34720,62,12,36,50,1
20659,13,18,85,37,1
93145,62,9,23,2,0
93496,47,18,14,84,1
61742,112,4,11,58,0
76639,16,6,94,12,1
21832,66,10,63,94,0
91462,81,13,30,80,1
30454,96,15,52,34,1
13943,43,17,93,86,1
71826,8,3,83,2,1
17740,116,0,71,52,0
52628,3,14,43,54,1
38513,12,13,29,44,1
52738,84,18,34,65,1
52836,16,4,20,66,0
68966,78,3,62,83,0
19187,80,12,91,43,1
41530,59,17,16,72,1
24604,117,11,11,67,1
7214,49,14,17,61,1
78959,63,8,91,24,1
99757,62,3,59,51,0
11075,107,4,66,49,0
11123,49,8,14,0,0
21547,51,12,15,38,1
90569,118,9,21,51,0
24059,33,15,94,75,1
66303,30,12,62,39,1
29803,59,3,30,59,0
9437,76,12,0,87,1
46527,15,7,74,72,0
61629,82,12,5,83,1
84765,92,14,86,68,1
32021,23,19,8,19,1
33407,78,19,51,84,1
27455,94,12,79,1,1
4935,97,4,61,84,0
20259,45,5,57,87,0
47705,62,4,18,8,0
38188,79,12,12,38,1
78852,71,4,31,29,0
55384,15,12,99,53,1
57143,116,19,8,81,1
35647,106,7,48,57,0
97107,46,8,36,43,0
82944,64,18,30,42,0
27632,102,19,30,9,1
34449,46,14,58,47,1
45545,56,9,54,84,0
5813,118,10,18,85,0
56278,44,4,62,16,1
49507,75,8,1,4,0
70440,29,10,44,69,1
51090,95,18,95,73,0
75772,62,1,42,63,0
65645,89,5,97,65,0
84891,52,0,0,70,0
58241,54,2,84,3,1
23893,88,2,60,82,0
56670,57,13,2,27,1
95184,83,19,90,83,1
37992,66,4,43,93,1
1115,22,16,6,37,1
61913,20,14,32,65,1
27812,33,5,8,66,0
8515,72,13,29,59,1
62392,25,13,17,46,1
23933,46,16,55,24,1
4258,73,7,89,65,0
62780,98,7,83,78,0
20409,57,18,30,66,0
7070,87,8,71,68,0
72574,5,10,62,39,0
86804,55,12,86,99,1
46640,61,12,49,49,1
20484,89,18,88,39,1
18117,8,18,0,36,1
75980,16,4,81,90,1
8802,118,15,18,68,1
484,48,8,63,16,1
504,109,19,52,61,1
41043,116,2,5,40,0
48026,61,18,16,75,0
29289,15,4,45,41,0
12863,65,7,71,30,0
18484,22,13,72,32,1
60200,3,2,54,42,0
98242,102,12,90,92,1
9960,54,10,99,66,0
80742,14,7,5,37,0
50712,36,18,69,40,1
23674,82,9,67,62,0
23624,111,17,85,39,1
69272,105,17,39,29,1
11016,82,6,90,46,0
4909,67,15,65,21,1
32301,10,5,8,95,0
53430,49,15,10,54,1
13556,103,15,19,42,1
56497,111,0,42,60,0
38865,65,18,57,73,1
34916,91,2,77,31,0
45206,57,5,25,3,0
54032,27,3,37,92,0
17200,75,3,93,44,0
57191,113,3,35,71,0
22049,5,9,98,19,1
70180,71,8,54,70,1
37844,83,7,5,64,0
45643,57,18,2,59,1
92293,93,16,64,88,1
36287,15,16,63,25,1
7339,99,0,57,72,0
14589,111,19,57,22,0
58117,101,13,17,39,1
61977,119,19,22,1,1
43225,76,10,95,25,0
50022,30,2,28,77,0
94174,20,7,22,61,0
32149,37,9,35,43,0
37231,3,16,69,30,1
43044,73,7,80,25,1
74063,41,0,81,82,1
24385,39,19,94,4,1
37726,26,6,5,69,0
42908,2,8,33,34,0
88564,23,11,43,15,1
53971,23,8,43,30,0
19298,85,19,26,81,1
19858,16,2,99,13,1
15354,9,3,51,24,0
44338,13,9,41,78,0
1352,28,3,24,89,0
39864,27,8,73,99,0
77809,51,0,38,74,0
37541,64,4,38,70,0
92334,52,8,11,17,0
53782,81,4,10,49,0
59594,38,5,2,19,1
81417,100,18,21,55,1
65315,65,7,3,1,0
78687,18,9,7,25,0
7049,63,10,13,22,1
55493,51,12,83,31,1
73653,9,19,87,12,1
7041,13,3,13,12,0
26034,40,10,91,16,1
23486,55,11,15,88,1
61986,109,4,31,57,0
75845,79,9,63,85,0
83351,43,6,75,26,1
94556,44,8,15,16,0
53513,110,8,51,89,0
56900,68,9,18,37,0
97339,33,9,68,13,0
42418,24,1,11,13,0
70273,36,3,92,11,1
70490,115,7,4,68,0
52429,105,13,41,67,1
43188,10,16,16,54,1
39911,100,12,71,62,1
55579,20,17,93,28,1
85492,105,17,9,88,1
87469,109,12,83,44,1
20063,108,7,15,3,0
55223,75,11,15,15,0
92805,12,0,41,65,0
73577,62,19,2,22,1
14488,18,17,22,67,1
5669,94,2,85,19,1
69936,108,11,27,16,1
36686,112,18,44,51,1
12115,101,12,99,5,1
45102,63,9,67,81,0
6354,84,14,23,83,1
17244,25,19,18,38,1
24314,12,1,74,33,0
80819,21,18,39,53,1
71874,25,2,45,87,0
6190,11,13,39,81,1
11737,64,6,61,93,0
22515,73,7,17,64,0
24171,50,10,11,86,0
58343,62,19,13,28,1
41340,89,5,81,40,0
83907,99,10,60,62,0
33534,116,16,11,31,1
69824,96,9,26,65,0
75797,49,16,5,99,1
28832,14,1,87,44,0
11414,1,5,32,16,0
24054,81,4,79,42,0
57208,25,3,49,65,0
87144,59,1,11,67,1
87605,72,11,94,33,1
36768,69,2,56,0,0
23161,5,5,52,22,0
79352,105,13,12,5,0
39849,99,7,71,15,0
17007,19,13,2,1,1
18877,23,2,63,75,0
93329,9,15,83,26,0
51845,118,14,57,18,1
91965,94,6,3,27,0
81918,50,14,44,34,1
23724,16,12,65,67,1
23421,33,5,35,48,0
10588,2,14,22,6,1
22674,14,16,18,36,1
5340,110,3,39,24,1
43321,1,13,71,40,1
10578,90,14,15,80,1
55745,58,11,57,61,1
19362,89,18,17,40,1
52896,16,9,35,13,0
4532,79,5,23,53,0
95357,90,8,0,1,0
64391,47,1,0,87,0
79204,44,3,63,78,0
59499,80,8,61,47,0
79814,14,14,35,50,1
50528,93,12,74,96,1
87831,24,19,17,54,1
402,111,7,15,11,0
82658,55,18,16,82,1
155,15,18,23,68,1
8817,83,15,97,0,1
28799,72,10,67,58,0
73786,34,9,98,72,1
67761,2,7,78,33,0
44347,27,0,1,92,0
16848,74,9,94,45,0
4721,99,17,72,58,1
15134,87,2,9,65,0
5226,113,10,52,18,0
5222,72,17,88,27,1
18130,92,2,50,98,0
82938,23,7,68,39,0
84817,68,13,13,56,1
55758,14,5,65,50,0
38738,63,14,81,21,1
67167,117,13,92,67,1
88969,106,6,52,7,0
34774,93,9,83,59,0
35954,65,14,63,64,1
46371,68,9,71,35,0
73788,63,16,48,70,1
38618,96,18,89,88,1
10367,97,16,61,28,1
90925,113,11,36,64,0
1162,90,14,48,55,1
50548,81,11,67,81,1
95562,103,8,32,3,0
6329,87,4,21,83,0
56893,64,3,69,71,0
48015,32,11,32,90,1
4732,116,15,27,49,1
3696,79,8,87,38,0
6268,13,2,3,34,0
7661,66,2,65,24,0
73894,19,17,76,77,1
82252,24,16,48,43,1
26834,109,9,10,46,0
6471,88,1,34,39,0
26169,11,10,38,30,0
80005,59,2,9,68,0
13010,86,1,73,80,0
73579,15,8,71,73,1
77835,10,18,68,42,1
81364,41,1,22,54,0
23375,27,18,33,15,0
72374,60,1,31,67,0
81549,73,14,15,68,0
60104,52,2,67,41,0
63081,28,4,53,40,0
84759,65,10,27,49,1
54653,17,6,59,83,0
48547,95,5,77,5,1
34629,44,13,75,74,1
75803,10,0,59,52,0
76190,63,16,84,16,1
17360,101,16,79,56,1
3912,93,13,43,66,1
28124,82,9,1,15,0
58756,47,7,22,51,0
27385,38,7,92,99,0
92536,103,13,45,89,1
1705,113,6,72,87,0
71258,70,5,53,33,0
72403,104,3,70,83,0
27239,76,0,92,80,0
77249,53,14,80,19,1
56238,78,14,8,79,1
76225,44,0,69,55,0
14018,119,19,43,50,1
85755,74,2,83,52,0
27546,54,4,73,48,0
13146,20,4,72,3,0
24918,79,3,11,17,0
4424,31,16,96,35,1
76423,7,19,31,34,0
9211,58,13,33,29,0
38210,105,7,82,62,1
16489,10,1,32,81,0
41527,10,7,63,20,0
79679,112,0,47,51,0
28846,39,3,15,95,0
87986,28,18,49,68,1
217,30,4,22,40,1
84571,37,4,25,53,1
13334,119,19,53,86,1
53541,67,18,43,29,1
946,114,11,36,90,1
11054,43,19,8,55,1
79339,79,0,93,78,1
46614,85,6,12,40,0
88336,52,16,59,13,1
97679,101,1,79,20,1
6569,56,10,1,97,0
30205,76,6,94,89,0
42201,68,16,59,24,1
64423,111,2,56,49,0
92022,9,5,42,94,0
58167,103,10,18,52,0
49476,106,17,10,47,1
45687,92,17,77,69,1
37076,23,9,46,47,0
67684,63,4,88,3,1
78577,109,14,62,23,1
42633,61,19,6,30,1
1928,40,3,78,82,0
2017,44,0,93,74,0
20718,86,14,30,28,1
32354,24,16,87,4,1
47462,51,18,54,81,1
20228,58,13,24,66,0
59483,90,18,71,74,1
65645,94,17,29,84,1
82280,33,1,35,93,0
88058,16,5,49,82,0
9965,22,12,13,52,1
2319,113,16,28,88,1
39909,57,5,26,63,0
5387,62,4,49,34,0
34487,114,6,35,11,0
8612,107,0,33,46,0
1442,82,12,20,89,0
63176,71,18,37,54,1
19316,114,0,74,68,0
93170,90,12,96,82,1
